source_object,evidence_id,graph_object_type,graph_object_id,ir_object_id,question_or_decision,generated_code_location,validation_result
Architecture Diagram to IaC Compiler.pptx:slide1.xml:2,ev-e2a4c88a41c47cf9,node,ev-e2a4c88a41c47cf9,ev-e2a4c88a41c47cf9,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L44,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:3,ev-ed92313deac11960,node,ev-ed92313deac11960,ev-ed92313deac11960,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L52,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:4,ev-a6b2ceb5d70c14eb,node,ev-a6b2ceb5d70c14eb,ev-a6b2ceb5d70c14eb,none,main.bicep#L60,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:5,ev-6eb7cfca153ab386,node,ev-6eb7cfca153ab386,ev-6eb7cfca153ab386,none,main.bicep#L68,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:6,ev-d75715e51f99c0a2,node,ev-d75715e51f99c0a2,ev-d75715e51f99c0a2,none,main.bicep#L76,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:7,ev-e7bbd27415313083,node,ev-e7bbd27415313083,ev-e7bbd27415313083,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L84,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:9,ev-f37f516dcc2283f7,node,ev-f37f516dcc2283f7,ev-f37f516dcc2283f7,none,main.bicep#L92,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:10,ev-f294fc68ec30c8a6,edge,ev-f294fc68ec30c8a6,,question:LOW_EDGE_CONFIDENCE,main.bicep#L4104,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:11,ev-80832789e09e270c,node,ev-80832789e09e270c,ev-80832789e09e270c,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L100,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:13,ev-bfd5f1f4d71ab858,node,ev-bfd5f1f4d71ab858,ev-bfd5f1f4d71ab858,none,main.bicep#L108,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:14,ev-6907beb8ef5e2047,edge,ev-6907beb8ef5e2047,,question:LOW_EDGE_CONFIDENCE,main.bicep#L4110,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:15,ev-cb1db3b6c4035827,node,ev-cb1db3b6c4035827,ev-cb1db3b6c4035827,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L116,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:17,ev-addd063f8f36ff9d,node,ev-addd063f8f36ff9d,ev-addd063f8f36ff9d,none,main.bicep#L124,passed
Architecture Diagram to IaC Compiler.pptx:slide1.xml:18,ev-c25a6d3808371d64,node,ev-c25a6d3808371d64,ev-c25a6d3808371d64,none,main.bicep#L132,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:2,ev-ddfc1d3819167850,node,ev-ddfc1d3819167850,ev-ddfc1d3819167850,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L140,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:3,ev-e72bc9edb9af42b3,node,ev-e72bc9edb9af42b3,ev-e72bc9edb9af42b3,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L148,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:4,ev-8f958d83277b58c6,node,ev-8f958d83277b58c6,ev-8f958d83277b58c6,none,main.bicep#L156,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:5,ev-3f465fa849a1dc4c,node,ev-3f465fa849a1dc4c,ev-3f465fa849a1dc4c,none,main.bicep#L164,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:6,ev-d67160c27a1e5e26,node,ev-d67160c27a1e5e26,ev-d67160c27a1e5e26,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L172,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:7,ev-64992b0d5c04e2c9,node,ev-64992b0d5c04e2c9,ev-64992b0d5c04e2c9,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L180,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:8,ev-9cd0884f3089d3a3,node,ev-9cd0884f3089d3a3,ev-9cd0884f3089d3a3,none,main.bicep#L188,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:9,ev-38f995ea5e930b70,node,ev-38f995ea5e930b70,ev-38f995ea5e930b70,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L196,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:10,ev-26ca855c0710855f,node,ev-26ca855c0710855f,ev-26ca855c0710855f,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L204,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:12,ev-d06da05cdcf7afe9,node,ev-d06da05cdcf7afe9,ev-d06da05cdcf7afe9,none,main.bicep#L212,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:13,ev-cd6706bd41128bb8,node,ev-cd6706bd41128bb8,ev-cd6706bd41128bb8,none,main.bicep#L220,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:14,ev-d1d57a724b74e884,node,ev-d1d57a724b74e884,ev-d1d57a724b74e884,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L228,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:15,ev-9eae2f6830dd99c5,node,ev-9eae2f6830dd99c5,ev-9eae2f6830dd99c5,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L236,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:17,ev-da0f5ca23165009d,node,ev-da0f5ca23165009d,ev-da0f5ca23165009d,none,main.bicep#L244,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:18,ev-a8ca7f73472992f4,node,ev-a8ca7f73472992f4,ev-a8ca7f73472992f4,none,main.bicep#L252,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:19,ev-efee66efc49fb67e,node,ev-efee66efc49fb67e,ev-efee66efc49fb67e,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L260,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:20,ev-ebf2d9712bd32072,node,ev-ebf2d9712bd32072,ev-ebf2d9712bd32072,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L268,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:22,ev-6ee560530731e4b4,node,ev-6ee560530731e4b4,ev-6ee560530731e4b4,none,main.bicep#L276,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:23,ev-a0f4c4b62c417471,node,ev-a0f4c4b62c417471,ev-a0f4c4b62c417471,none,main.bicep#L284,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:24,ev-40f89bcd2411726c,node,ev-40f89bcd2411726c,ev-40f89bcd2411726c,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L292,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:25,ev-57189195dd5474b6,node,ev-57189195dd5474b6,ev-57189195dd5474b6,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L300,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:27,ev-d2a29e5d43ef4dcb,node,ev-d2a29e5d43ef4dcb,ev-d2a29e5d43ef4dcb,none,main.bicep#L308,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:28,ev-5b21325a94448a0c,node,ev-5b21325a94448a0c,ev-5b21325a94448a0c,none,main.bicep#L316,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:29,ev-bcbce913506c8950,node,ev-bcbce913506c8950,ev-bcbce913506c8950,none,main.bicep#L324,passed
Architecture Diagram to IaC Compiler.pptx:slide2.xml:30,ev-69367aab1255c466,node,ev-69367aab1255c466,ev-69367aab1255c466,none,main.bicep#L332,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:2,ev-d3e874c846e26415,node,ev-d3e874c846e26415,ev-d3e874c846e26415,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L340,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:3,ev-be0a3dd925fab1bf,node,ev-be0a3dd925fab1bf,ev-be0a3dd925fab1bf,question:DECORATIVE_SHAPE_UNLABELED,main.bicep#L348,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:4,ev-ef784ea89ade479e,node,ev-ef784ea89ade479e,ev-ef784ea89ade479e,none,main.bicep#L356,passed
Architecture Diagram to IaC Compiler.pptx:slide3.xml:5,ev-0605aa08e493f578,node,ev-0605aa08e493f578,ev-0605aa08e493f578,none,main.bicep#L364,passed
